,"Kategori"
"ἀνταποδίδωμι,467,false","μι-verbum"
"ἀνταποκρίνομαι,470,false","ν-stamme"
"ἀντέχω,472,false","χ-stamme"
"ἀντιβάλλω,474,false","λ-stamme"
"ἀντιδιατίθημι,475,false","μι-verbum"
"ἀντικαθίστημι,478,false","μι-verbum"
"ἀντικαλέω,479,false","ε-stamme"
"ἀντίκειμαι,480,false","μι-verbum"
"ἀντιλαμβάνω,482,false","ν-stamme"
"ἀντιλέγω,483,false","γ-stamme"
"ἀντιλοιδορέω,486,false","ε-stamme"
"ἀντιμετρέω,488,false","ε-stamme"
"ἀντιπαρέρχομαι,492,false","χ-stamme"
"ἀντιπίπτω,496,false","π-stamme"
"ἀντιστρατεύω,497,false","ευ-stamme"
"ἀντιτάσσω,498,false","κ-stamme"
"ἀντλέω,501,false","ε-stamme"
"ἀντοφθαλμέω,503,false","ε-stamme"
"ἀξιόω,515,false","ο-stamm"
"ἀπαγγέλλω,518,false","λ-stamme"
"ἀπάγχω,519,false","χ-stamme"
"ἀπάγω,520,false","γ-stamme"
"ἀπάγω,520,true","γ-stamme"
"ἀπαίρω,522,false","ρ-stamme"
"ἀπαιτέω,523,false","ε-stamme"
"ἀπαλγέω,524,false","ε-stamme"
"ἀπαλλάσσω,525,false","κ-stamme"
"ἀπαλλοτριόω,526,false","ο-stamm"
"ἀπαντάω,528,false","α-stamme"
"ἀπαρνέομαι,533,false","ε-stamme"
"ἀπασπάζομαι,782,true","ζ-stamme"
"ἀπατάω,538,false","α-stamme"
"ἀπειθέω,544,false","ε-stamme"
"ἀπειλέω,546,false","ε-stamme"
"ἄπειμι (I),548,false","μι-verbum"
"ἄπειμι (II),549,false","μι-verbum"
"ἀπεῖπον,550,false","uregelmæssig "
"ἀπεκδέχομαι,553,false","χ-stamme"
"ἀπεκδύομαι,554,false","υ-stamme"
"ἀπελαύνω,556,false","ν-stamme"
"ἀπελπίζω,560,false","ζ-stamme"
"ἀπέρχομαι,565,false","χ-stamme"
"ἀπέχω,568,false","χ-stamme"
"ἀπιστέω,569,false","ε-stamme"
"ἀποβαίνω,576,false","ν-stamme"
"ἀποβάλλω,577,false","λ-stamme"
"ἀποβλέπω,578,false","π-stamme"
"ἀπογίνομαι,581,false","ν-stamme"
"ἀπογράφω,583,false","φ-stamme"
"ἀποδείκνυμι,584,false","μι-verbum"
"ἀποδεκατεύω,586,true","ευ-stamme"
"ἀποδεκατόω,586,false","ο-stamm"
"ἀποδέχομαι,588,false","χ-stamme"
"ἀποδημέω,589,false","ε-stamme"
"ἀποδίδωμι,591,false","μι-verbum"
"ἀποδιορίζω,592,false","ζ-stamme"
"ἀποδοκιμάζω,593,false","ζ-stamme"
"ἀποθησαυρίζω,597,false","ζ-stamme"
