,"deklination ","stamme"
"ἀμφίβληστρον,293,false","2.","ο-stamme"
"Ἀμφίπολις,295,false","3.","ι-stamme"
"ἄμφοδον,296,false","2.","ο-stamme"
"ἄμωμον,299,true","2.","ο-stamme"
"ἀναβαθμός,304,false","2.","ο-stamme"
"ἀνάβλεψις,309,false","3.","ι-stamme"
"ἀναβολή,311,false","1. (-η)","α-stamme"
"ἀνάγαιον,508,false","2.","ο-stamme"
"ἀνάγκη,318,false","1. (-η)","α-stamme"
"ἀνάγνωσις,320,false","3.","ι-stamme"
"ἀνάδειξις,323,false","3.","ι-stamme"
"ἀνάθεμα,331,false","3.","τ-stamme"
"ἀνάθημα,334,false","3.","τ-stamme"
"ἀναίδεια,335,false","1. (-ᾱ)","α-stamme"
"ἀναίρεσις,336,false","3.","ι-stamme"
"ἀνακαίνωσις,342,false","3.","ι-stamme"
"ἀνάκρισις,351,false","3.","ι-stamme"
"ἀνάλημψις,354,false","3.","ι-stamme"
"ἀναλογία,356,false","1. (-ᾱ)","α-stamme"
"ἀνάλυσις,359,false","3.","ι-stamme"
"ἀνάμνησις,364,false","3.","ι-stamme"
"Ἁνανίας,367,false","1. (-ᾱ)","α-stamme"
"ἀνάπαυσις,372,false","3.","ι-stamme"
"ἀνάστασις,386,false","3.","ι-stamme"
"ἀναστροφή,391,false","1. (-η)","α-stamme"
"ἀνατολή,395,false","1. (-η)","α-stamme"
"ἀνάχυσις,401,false","3.","ι-stamme"
"ἀνάψυξις,403,false","3.","ι-stamme"
"ἀνδραποδιστής,405,false","1. (-η)","α-stamme"
"Ἀνδρέας,406,false","1. (-η)","α-stamme"
"Ἀνδρόνικος,408,false","2.","ο-stamme"
"ἀνδροφόνος,409,false","2.","ο-stamme"
"ἄνεμος,417,false","2.","ο-stamme"
"ἄνεσις,425,false","3.","ι-stamme"
"ἀνεψιός,431,false","2.","ο-stamme"
"ἄνηθον,432,false","2.","ο-stamme"
"ἀνήρ,435,false","uregelmæssig","uregelmæssig"
"ἄνθος,438,false","3.","ς-stamme"
"ἀνθρακιά,439,false","1. (-ᾱ)","α-stamme"
"ἄνθραξ,440,false","3.","κ-stamme"
"ἄνθρωπος,444,false","2.","ο-stamme"
"ἀνθύπατος,446,false","2.","ο-stamme"
"Ἅννα,451,false","1. (-ᾱ)","α-stamme"
"Ἅννας,452,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"ἄνοια,454,false","1. (-ᾱ)","α-stamme"
"ἄνοιξις,457,false","3.","ι-stamme"
"ἀνομία,458,false","1. (-ᾱ)","α-stamme"
"ἀνοχή,463,false","1. (-η)","α-stamme"
"ἀντάλλαγμα,465,false","3.","τ-stamme"
"ἀνταπόδομα,468,false","3.","τ-stamme"
"ἀνταπόδοσις,469,false","3.","ι-stamme"
"ἀντίδικος,476,false","2.","ο-stamme"
"ἀντίθεσις,477,false","3.","ι-stamme"
"ἀντίλημψις,484,false","3.","ι-stamme"
"ἀντιλογία,485,false","1. (-ᾱ)","α-stamme"
"ἀντίλυτρον,487,false","2.","ο-stamme"
"ἀντιμισθία,489,false","1. (-ᾱ)","α-stamme"
"Ἀντιόχεια,490,false","1. (-ᾱ)","α-stamme"
"Ἀντιοχεύς,491,false","3.","ευ-stamme"
"Ἀντιπᾶς,493,false","1. (-ᾱ)","α-stamme"
"Ἀντιπατρίς,494,false","3.","δ-stamme"
"ἀντίχριστος,500,false","2.","ο-stamme"
"ἄντλημα,502,false","3.","τ-stamme"
"ἀξίνη,513,false","1. (-η)","α-stamme"
"ἀπάντησις,529,false","3.","ι-stamme"
"ἀπαρτισμός,535,false","2.","ο-stamme"
"ἀπαρχή,536,false","1. (-η)","α-stamme"
"ἀπάτη,539,false","1. (-η)","α-stamme"
"ἀπαύγασμα,541,false","3.","τ-stamme"
"ἀπείθεια,543,false","1. (-ᾱ)","α-stamme"
"ἀπειλή,547,false","1. (-η)","α-stamme"
"ἀπέκδυσις,555,false","3.","ι-stamme"
"ἀπελεγμός,557,false","2.","ο-stamme"
"ἀπελεύθερος,558,false","2.","ο-stamme"
"Ἀπελλῆς,559,false","1. (-ᾱ)","α-stamme"
"ἀπιστία,570,false","1. (-ᾱ)","α-stamme"
"ἁπλότης,572,false","3.","τ-stamme"
"ἀποβολή,580,false","1. (-η)","α-stamme"
"ἀπογραφή,582,false","1. (-η)","α-stamme"
"ἀπόδειξις,585,false","3.","ι-stamme"
"ἀποδοχή,594,false","1. (-η)","α-stamme"
"ἀπόθεσις,595,false","3.","ι-stamme"
"ἀποθήκη,596,false","1. (-η)","α-stamme"
"ἀποκάλυψις,602,false","3.","ι-stamme"
"ἀποκαραδοκία,603,false","1. (-ᾱ)","α-stamme"
"ἀποκατάστασις,605,false","3.","ι-stamme"
"ἀπόκριμα,610,false","3.","τ-stamme"
"ἀπόκρισις,612,false","3.","ι-stamme"
"ἀπόλαυσις,619,false","3.","ι-stamme"
"Ἀπολλύων,623,false","3.","ν-stamme"
"Ἀπολλωνία,624,false","1. (-ᾱ)","α-stamme"
"Ἀπολλῶς,625,false","2.","ο-stamme"
"ἀπολογία,627,false","1. (-ᾱ)","α-stamme"
"ἀπολύτρωσις,629,false","3.","ι-stamme"
"ἀπορία,640,false","1. (-ᾱ)","α-stamme"
"ἀποσκίασμα,644,false","3.","τ-stamme"
"ἀποστασία,646,false","1. (-ᾱ)","α-stamme"
"ἀποστάσιον,647,false","2.","ο-stamme"
"ἀποστολή,651,false","1. (-η)","α-stamme"
"ἀπόστολος,652,false","2.","ο-stamme"
"ἀποτομία,663,false","1. (-ᾱ)","α-stamme"
"ἀπουσία,666,false","1. (-ᾱ)","α-stamme"
"ἀπόχρησις,671,false","3.","ι-stamme"
"Ἀππίου Φόρον,5410,false","2.","ο-stamme"
"Ἀππίου Φόρον,675,false","2.","ο-stamme"
"Ἀπφία,682,false","1. (-ᾱ)","α-stamme"
"ἀπώλεια,684,false","1. (-ᾱ)","α-stamme"
"ἀρά,685,false","1. (-ᾱ)","α-stamme"
"Ἀραβία,688,false","1. (-ᾱ)","α-stamme"
"Ἄραψ,690,false","3.","β-stamme"
"ἀργύριον,694,false","2.","ο-stamme"
"ἀργυροκόπος,695,false","2.","ο-stamme"
"ἄργυρος,696,false","2.","ο-stamme"
"Ἄρειος Πάγος,697,false","2.","ο-stamme"
"Ἀρεοπαγίτης,698,false","1. (-η)","α-stamme"
"ἀρεσκεία,699,false","1. (-ᾱ)","α-stamme"
"Ἁρέτας,702,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"ἀρετή,703,false","1. (-η)","α-stamme"
"ἀρήν,704,false","3.","ν-stamme"
"ἀριθμός,706,false","2.","ο-stamme"
"Ἀριμαθαία,707,false","1. (-ᾱ)","α-stamme"
"Ἁριμαθαία,707,false","1. (-ᾱ)","α-stamme"
"Ἀρίσταρχος,708,false","2.","ο-stamme"
"Ἀριστόβουλος,711,false","2.","ο-stamme"
"ἄριστον,712,false","2.","ο-stamme"
"ἄρκος,715,false","2.","ο-stamme"
"ἅρμα,716,false","3.","τ-stamme"
"ἁρμός,719,false","2.","ο-stamme"
"ἀρνίον,721,false","2.","ο-stamme"
"ἄροτρον,723,false","2.","ο-stamme"
"ἁρπαγή,724,false","1. (-η)","α-stamme"
"ἁρπαγμός,725,false","2.","ο-stamme"
"ἀρραβών,728,false","3.","ν-stamme"
"ἀρσενοκοίτης,733,false","2.","ο-stamme"
"Ἀρτεμᾶς,734,false","1. (-ᾱ)","α-stamme"
"Ἄρτεμις,735,false","3.","δ-stamme"
"ἀρτέμων,736,false","3.","ν-stamme"
"ἄρτος,740,false","2.","ο-stamme"
