,"deklination ","stamme"
"δισμυριάς,3461,false","3.","δ-stamme"
"διχοστασία,1370,false","1. (-ᾱ)","α-stamme"
"δίψος,1373,false","3.","ς-stamme"
"διωγμός,1375,false","2.","ο-stamme"
"διώκτης,1376,false","1. (-η)","α-stamme"
"δόγμα,1378,false","3.","τ-stamme"
"δοκιμασία,1382,true","1. (-ᾱ)","α-stamme"
"δοκιμή,1382,false","1. (-η)","α-stamme"
"δοκίμιον,1383,false","2.","ο-stamme"
"δοκός,1385,false","2.","ο-stamme"
"δόλος,1388,false","2.","ο-stamme"
"δόμα,1390,false","3.","τ-stamme"
"δόξα,1391,false","1. (-ᾰ)","α-stamme"
"Δορκάς,1393,false","3.","δ-stamme"
"δόσις,1394,false","3.","ι-stamme"
"δότης,1395,false","1. (-η)","α-stamme"
"δουλεία,1397,false","1. (-ᾱ)","α-stamme"
"δούλη,1399,false","1. (-η)","α-stamme"
"δοῦλος (II),1401,false","2.","ο-stamme"
"δοχή,1403,false","1. (-η)","α-stamme"
"δράκων,1404,false","3.","ντ-stamme"
"δραχμή,1406,false","1. (-η)","α-stamme"
"δρέπανον,1407,false","2.","ο-stamme"
"δρόμος,1408,false","2.","ο-stamme"
"Δρούσιλλα,1409,false","1. (-ᾰ)","α-stamme"
"δύναμις,1411,false","3.","ι-stamme"
"δυνάστης,1413,false","1. (-η)","α-stamme"
"δυσεντέριον,1420,false","2.","ο-stamme"
"δύσις,1424,true","3.","ι-stamme"
"δυσμή,1424,false","1. (-η)","α-stamme"
"δυσφημία,1426,false","1. (-ᾱ)","α-stamme"
"δωδεκάφυλον,1429,false","2.","ο-stamme"
"δῶμα,1430,false","3.","τ-stamme"
"δωρεά,1431,false","1. (-ᾱ)","α-stamme"
"δώρημα,1434,false","3.","τ-stamme"
"δῶρον,1435,false","2.","ο-stamme"
"Ἑβραΐς,1446,false","3.","δ-stamme"
"ἔγερσις,1454,false","3.","ι-stamme"
"ἐγκαίνια,1456,false","1. (-ᾱ)","α-stamme"
"ἔγκλημα,1462,false","3.","τ-stamme"
"ἐγκοπή,1464,false","1. (-η)","α-stamme"
"ἐγκράτεια,1466,false","1. (-ᾱ)","α-stamme"
"ἔγκυος,1471,false","2.","ο-stamme"
"ἔδαφος,1475,false","3.","ς-stamme"
"ἑδραίωμα,1477,false","3.","τ-stamme"
"Ἑζεκίας,1478,false","1. (-ᾱ)","α-stamme"
"ἐθελοθρησκία,1479,false","1. (-ᾱ)","α-stamme"
"ἐθνάρχης,1481,false","1. (-η)","α-stamme"
"ἔθνος,1484,false","3.","ς-stamme"
"ἔθος,1485,false","3.","ς-stamme"
"εἰδέα,2397,false","1. (-ᾱ)","α-stamme"
"εἶδος,1491,false","3.","ς-stamme"
"εἰδωλεῖον,1493,false","2.","ο-stamme"
"εἰδωλολάτρης,1496,false","2.","ο-stamme"
"εἰδωλολατρία,1495,false","1. (-ᾱ)","α-stamme"
"εἴδωλον,1497,false","2.","ο-stamme"
"εἰκών,1504,false","3.","ν-stamme"
"εἰλικρίνεια,1505,false","1. (-ᾱ)","α-stamme"
"εἰρήνη,1515,false","1. (-η)","α-stamme"
"εἴσοδος,1529,false","2.","ο-stamme"
"ἑκατοντάρχης,1543,false","1. (-η)","α-stamme"
"ἔκβασις,1545,false","3.","ι-stamme"
"ἐκβολή,1546,false","1. (-η)","α-stamme"
"ἐκδίκησις,1557,false","3.","ι-stamme"
"ἐκδοχή,1561,false","1. (-η)","α-stamme"
"ἐκζήτησις,2214,true","3.","ι-stamme"
"ἐκκλησία,1577,false","1. (-ᾱ)","α-stamme"
"ἐκλογή,1589,false","1. (-η)","α-stamme"
"ἐκπλήρωσις,1604,false","3.","ι-stamme"
"ἔκστασις,1611,false","3.","ι-stamme"
"ἐκτένεια,1616,false","1. (-ᾱ)","α-stamme"
"ἔκτρωμα,1626,false","3.","τ-stamme"
"ἐλαία,1636,false","1. (-ᾱ)","α-stamme"
"ἔλαιον,1637,false","2.","ο-stamme"
"ἐλαιών,1638,false","3.","ν-stamme"
"Ἐλαμίτης,1639,false","1. (-η)","α-stamme"
"ἐλαφρία,1644,false","1. (-ᾱ)","α-stamme"
"ἐλεγμός,1650,true","2.","ο-stamme"
"ἔλεγξις,1649,false","3.","ι-stamme"
"ἔλεγχος,1650,false","2.","ο-stamme"
"ἐλεημοσύνη,1654,false","1. (-η)","α-stamme"
"ἔλεος,1656,false","3.","ς-stamme"
"ἐλευθερία,1657,false","1. (-ᾱ)","α-stamme"
"ἔλευσις,1660,false","3.","ι-stamme"
"Ἐλισαῖος,1666,false","2.","ο-stamme"
"ἕλκος,1668,false","3.","ς-stamme"
"Ἑλλάς,1671,false","3.","δ-stamme"
"Ἕλλην,1672,false","3.","ν-stamme"
"Ἑλληνίς,1674,false","3.","δ-stamme"
"Ἑλληνιστής,1675,false","1. (-η)","α-stamme"
"ἐλπίς,1680,false","3.","δ-stamme"
"Ἐλύμας,1681,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"ἐμπαιγμονή,1701,true","1. (-η)","α-stamme"
"ἐμπαιγμός,1701,false","2.","ο-stamme"
"ἐμπαίκτης,1703,false","1. (-η)","α-stamme"
"ἐμπλοκή,1708,false","1. (-η)","α-stamme"
"ἐμπορία,1711,false","1. (-ᾱ)","α-stamme"
"ἐμπόριον,1712,false","2.","ο-stamme"
"ἔμπορος,1713,false","2.","ο-stamme"
"ἔνδειγμα,1730,false","3.","τ-stamme"
"ἔνδειξις,1732,false","3.","ι-stamme"
"ἔνδυμα,1742,false","3.","τ-stamme"
"ἔνδυσις,1745,false","3.","ι-stamme"
"ἐνδώμησις,1739,false","3.","ι-stamme"
"ἐνέδρα,1747,false","1. (-ᾱ)","α-stamme"
"ἐνέργεια,1753,false","1. (-ᾱ)","α-stamme"
"ἐνέργημα,1755,false","3.","τ-stamme"
"ἐνθύμησις,1761,false","3.","ι-stamme"
"ἐνιαυτός,1763,false","2.","ο-stamme"
"ἔννοια,1771,false","1. (-ᾱ)","α-stamme"
"ἑνότης,1775,false","3.","τ-stamme"
"ἔνταλμα,1778,false","3.","τ-stamme"
"ἐνταφιασμός,1780,false","2.","ο-stamme"
"ἔντευξις,1783,false","3.","ι-stamme"
"ἐντολή,1785,false","1. (-η)","α-stamme"
"ἐντροπή,1791,false","1. (-η)","α-stamme"
"ἐνύπνιον,1798,false","2.","ο-stamme"
"ἐξανάστασις,1815,false","3.","ι-stamme"
"ἐξέραμα,1829,false","3.","τ-stamme"
"ἕξις,1838,false","3.","ι-stamme"
"ἔξοδος,1841,false","2.","ο-stamme"
"ἐξορκιστής,1845,false","1. (-η)","α-stamme"
"ἐξουσία,1849,false","1. (-ᾱ)","α-stamme"
"ἐξοχή,1851,false","1. (-η)","α-stamme"
"ἑορτή,1859,false","1. (-η)","α-stamme"
"ἐπαγγελία,1860,false","1. (-ᾱ)","α-stamme"
"ἐπάγγελμα,1862,false","3.","τ-stamme"
"Ἐπαίνετος,1866,false","2.","ο-stamme"
"ἔπαινος,1868,false","2.","ο-stamme"
"ἐπανόρθωσις,1882,false","3.","ι-stamme"
"ἐπαρχεία,1885,false","1. (-ᾱ)","α-stamme"
"ἔπαυλις,1886,false","3.","ι-stamme"
"Ἐπαφρᾶς,1889,false","1. (-ᾱ)","α-stamme"
"Ἐπαφρόδιτος,1891,false","2.","ο-stamme"
"ἐπεισαγωγή,1898,false","1. (-η)","α-stamme"
"ἐπενδύτης,1903,false","1. (-η)","α-stamme"
"ἐπερώτημα,1906,false","3.","τ-stamme"
"ἐπίβλημα,1915,false","3.","τ-stamme"
"ἐπιβουλή,1917,false","1. (-η)","α-stamme"
"ἐπίγνωσις,1922,false","3.","ι-stamme"
"ἐπιγραφή,1923,false","1. (-η)","α-stamme"
"ἐπιείκεια,1932,false","1. (-ᾱ)","α-stamme"
"ἐπίθεσις,1936,false","3.","ι-stamme"
"ἐπιθυμητής,1938,false","1. (-η)","α-stamme"
"ἐπιθυμία,1939,false","1. (-ᾱ)","α-stamme"
"ἐπικάλυμμα,1942,false","3.","τ-stamme"
"Ἐπικούρειος,1946,false","2.","ο-stamme"
"ἐπικουρία,1947,false","1. (-ᾱ)","α-stamme"
"ἐπιλησμονή,1953,false","1. (-η)","α-stamme"
"ἐπίλυσις,1955,false","3.","ι-stamme"
"ἐπιμέλεια,1958,false","1. (-ᾱ)","α-stamme"
"ἐπίνοια,1963,false","1. (-ᾱ)","α-stamme"
"ἐπιπόθησις,1972,false","3.","ι-stamme"
"ἐπιποθία,1974,false","1. (-ᾱ)","α-stamme"
"ἐπισιτισμός,1979,false","2.","ο-stamme"
"ἐπισκοπή,1984,false","1. (-η)","α-stamme"
"ἐπίσκοπος,1985,false","2.","ο-stamme"
"ἐπίστασις,1999,true","3.","ι-stamme"
"ἐπιστάτης,1988,false","1. (-η)","α-stamme"
"ἐπιστολή,1992,false","1. (-η)","α-stamme"
"ἐπιστροφή,1995,false","1. (-η)","α-stamme"
"ἐπισυναγωγή,1997,false","1. (-η)","α-stamme"
"ἐπιταγή,2003,false","1. (-η)","α-stamme"
"ἐπιτιμία,2009,false","1. (-ᾱ)","α-stamme"
"ἐπιτροπή,2011,false","1. (-η)","α-stamme"
"ἐπίτροπος,2012,false","2.","ο-stamme"
"ἐπιφάνεια,2015,false","1. (-ᾱ)","α-stamme"
"ἐπιχορηγία,2024,false","1. (-ᾱ)","α-stamme"
"ἐπόπτης,2030,false","1. (-η)","α-stamme"
"ἔπος,2031,false","3.","ς-stamme"
"Ἔραστος,2037,false","2.","ο-stamme"
"ἐργασία,2039,false","1. (-ᾱ)","α-stamme"
"ἐργάτης,2040,false","1. (-η)","α-stamme"
"ἔργον,2041,false","2.","ο-stamme"
"ἐρημία,2047,false","1. (-ᾱ)","α-stamme"
"ἐρήμωσις,2050,false","3.","ι-stamme"
"ἐριθεία,2052,false","1. (-ᾱ)","α-stamme"
"ἔριον,2053,false","2.","ο-stamme"
"ἔρις,2054,false","3.","δ-stamme"
"ἐρίφιον,2055,false","2.","ο-stamme"
"ἔριφος,2056,false","2.","ο-stamme"
"Ἑρμᾶς,2057,false","1. (-ᾱ)","α-stamme"
"ἑρμηνεία,2058,false","1. (-ᾱ)","α-stamme"
"Ἑρμῆς,2060,false","1. (-η)","α-stamme"
"Ἑρμογένης,2061,false","3.","ς-stamme"
"ἑρπετόν,2062,false","2.","ο-stamme"
"ἐσθής,2066,false","3.","τ-stamme"
"ἔσοπτρον,2072,false","2.","ο-stamme"
"ἑσπέρα,2073,false","1. (-ᾱ)","α-stamme"
"ἑταῖρος,2083,false","2.","ο-stamme"
"ἑτοιμασία,2091,false","1. (-ᾱ)","α-stamme"
"ἔτος,2094,false","3.","ς-stamme"
"Εὕα,2096,false","1. (-ᾱ)","α-stamme"
"εὐαγγέλιον,2098,false","2.","ο-stamme"
"εὐαγγελιστής,2099,false","1. (-η)","α-stamme"
"Εὔβουλος,2103,false","2.","ο-stamme"
"εὐδία,2105,false","1. (-ᾱ)","α-stamme"
"εὐδοκία,2107,false","1. (-ᾱ)","α-stamme"
"εὐεργεσία,2108,false","1. (-ᾱ)","α-stamme"
"εὐεργέτης,2110,false","1. (-η)","α-stamme"
"εὐθύτης,2118,false","3.","τ-stamme"
"εὐκαιρία,2120,false","1. (-ᾱ)","α-stamme"
"εὐλάβεια,2124,false","1. (-ᾱ)","α-stamme"
"εὐλογία,2129,false","1. (-ᾱ)","α-stamme"
"Εὐνίκη,2131,false","1. (-η)","α-stamme"
"εὔνοια,2133,false","1. (-ᾱ)","α-stamme"
"εὐνοῦχος,2135,false","2.","ο-stamme"
"Εὐοδία,2136,false","1. (-ᾱ)","α-stamme"
"εὐποιΐα,2140,false","1. (-ᾱ)","α-stamme"
"εὐπορία,2142,false","1. (-ᾱ)","α-stamme"
"εὐπρέπεια,2143,false","1. (-ᾱ)","α-stamme"
"εὐρακύλων,2148,true","3.","ν-stamme"
"εὐσέβεια,2150,false","1. (-ᾱ)","α-stamme"
"εὐσχημοσύνη,2157,false","1. (-η)","α-stamme"
"εὐτραπελία,2160,false","1. (-ᾱ)","α-stamme"
"Εὔτυχος,2161,false","2.","ο-stamme"
"εὐφημία,2162,false","1. (-ᾱ)","α-stamme"
"Εὐφράτης,2166,false","1. (-η)","α-stamme"
"εὐφροσύνη,2167,false","1. (-η)","α-stamme"
"εὐχαριστία,2169,false","1. (-ᾱ)","α-stamme"
"εὐχή,2171,false","1. (-η)","α-stamme"
"εὐωδία,2175,false","1. (-ᾱ)","α-stamme"
"Ἔφεσος,2181,false","2.","ο-stamme"
"ἐφευρετής,2182,false","1. (-ᾱ)","α-stamme"
"ἐφημερία,2183,false","1. (-ᾱ)","α-stamme"
"ἔχθρα,2189,false","1. (-ᾱ)","α-stamme"
"ἔχιδνα,2191,false","1. (-η)","α-stamme"
"Ζακχαῖος,2195,false","2.","ο-stamme"
"Ζαχαρίας,2197,false","1. (-ᾱ)","α-stamme"
"Ζεβεδαῖος,2199,false","2.","ο-stamme"
"ζεῦγος,2201,false","3.","ς-stamme"
"ζευκτηρία,2202,false","1. (-ᾱ)","α-stamme"
"Ζεύς,2203,false","uregelmæssig","uregelmæssig"
"ζῆλος,2205,false","2.","ο-stamme"
"ζηλωτής,2207,false","1. (-ᾱ)","α-stamme"
"ζημία,2209,false","1. (-ᾱ)","α-stamme"
"Ζηνᾶς,2211,false","1. (-ᾱ)","α-stamme"
"ζήτημα,2213,false","3.","τ-stamme"
"ζήτησις,2214,false","3.","ι-stamme"
"ζιζάνιον,2215,false","2.","ο-stamme"
"ζόφος,2217,false","2.","ο-stamme"
"ζυγός,2218,false","2.","ο-stamme"
"ζύμη,2219,false","1. (-η)","α-stamme"
"ζωή,2222,false","1. (-η)","α-stamme"
"ζώνη,2223,false","1. (-η)","α-stamme"
"ζῷον,2226,false","2.","ο-stamme"
"ἡγεμονία,2231,false","1. (-ᾱ)","α-stamme"
"ἡγεμών,2232,false","3.","ν-stamme"
"ἡδονή,2237,false","1. (-η)","α-stamme"
"ἡδύοσμον,2238,false","2.","ο-stamme"
"ἦθος,2239,false","3.","ς-stamme"
"Ἠλίας,2243,false","3.","δ-stamme"
"ἡλικία,2244,false","1. (-ᾱ)","α-stamme"
"ἥλιος,2246,false","2.","ο-stamme"
"ἧλος,2247,false","2.","ο-stamme"
"ἡμέρα,2250,false","1. (-ᾱ)","α-stamme"
"ἡμίωρον,2256,false","2.","ο-stamme"
"Ἡρῴδης,2264,false","1. (-η)","α-stamme"
"Ἡρῳδιανοί,2265,false","2.","ο-stamme"
"Ἡρῳδιάς,2266,false","3.","δ-stamme"
"Ἡρῳδίων,2267,false","3.","ν-stamme"
"Ἠσαΐας,2268,false","1. (-ᾱ)","α-stamme"
"ἡσυχία,2271,false","1. (-ᾱ)","α-stamme"
"ἥττημα,2275,false","3.","τ-stamme"
"ἦχος (I),2279,false","2.","ο-stamme"
"ἦχος (II),2279,true","2.","ο-stamme"
"Θαδδαῖος,2280,false","2.","ο-stamme"
"θάλασσα,2281,false","1. (-ᾰ)","α-stamme"
"θάμβος,2285,false","3.","ς-stamme"
"θάνατος,2288,false","2.","ο-stamme"
"θάρσος,2294,false","3.","ς-stamme"
"θαῦμα,2295,false","3.","τ-stamme"
"θεά,2299,false","1. (-ᾱ)","α-stamme"
"θέατρον,2302,false","2.","ο-stamme"
"θεῖον,2303,false","2.","ο-stamme"
"θειότης,2305,false","3.","τ-stamme"
"θέλημα,2307,false","3.","τ-stamme"
"θέλησις,2308,false","3.","ι-stamme"
"θεμέλιος,2310,false","2.","ο-stamme"
"θεός,2316,false","2.","ο-stamme"
"θεοσέβεια,2317,false","1. (-ᾱ)","α-stamme"
"θεότης,2320,false","3.","τ-stamme"
"Θεόφιλος,2321,false","2.","ο-stamme"
"θεραπεία,2322,false","1. (-ᾱ)","α-stamme"
"θεράπων,2324,false","3.","ντ-stamme"
"θερισμός,2326,false","2.","ο-stamme"
"θεριστής,2327,false","1. (-η)","α-stamme"
"θέρμη,2329,false","1. (-η)","α-stamme"
"θέρος,2330,false","3.","ς-stamme"
"Θεσσαλονικεύς,2331,false","3.","ευ-stamme"
"Θεσσαλονίκη,2332,false","1. (-η)","α-stamme"
"Θευδᾶς,2333,false","1. (-ᾱ)","α-stamme"
"θεωρία,2335,false","1. (-ᾱ)","α-stamme"
"θήκη,2336,false","1. (-η)","α-stamme"
"θήρα,2339,false","1. (-ᾱ)","α-stamme"
"θηρίον,2342,false","2.","ο-stamme"
"θησαυρός,2344,false","2.","ο-stamme"
"θλῖψις,2347,false","3.","ι-stamme"
"θόρυβος,2351,false","2.","ο-stamme"
"θρέμμα,2353,false","3.","τ-stamme"
"θρησκεία,2356,false","1. (-ᾱ)","α-stamme"
"θρίξ,2359,false","3.","χ-stamme"
"θρόμβος,2361,false","2.","ο-stamme"
"θρόνος,2362,false","2.","ο-stamme"
"Θυάτειρα,2363,false","1. (-ᾱ)","α-stamme"
"θυγάτηρ,2364,false","3.","ρ-stamme"
"θυγάτριον,2365,false","2.","ο-stamme"
"θύελλα,2366,false","1. (-ᾰ)","α-stamme"
"θυμίαμα,2368,false","3.","τ-stamme"
"θυμιατήριον,2369,false","2.","ο-stamme"
"θυμός,2372,false","2.","ο-stamme"
"θύρα,2374,false","1. (-ᾱ)","α-stamme"
"θυρεός,2375,false","2.","ο-stamme"
"θυρίς,2376,false","3.","δ-stamme"
"θυρωρός,2377,false","2.","ο-stamme"
"θυσία,2378,false","1. (-ᾱ)","α-stamme"
"θυσιαστήριον,2379,false","2.","ο-stamme"
"Θωμᾶς,2381,false","1. (-ᾱ)","α-stamme"
"θώραξ,2382,false","3.","κ-stamme"
"Ἰάϊρος,2383,false","2.","ο-stamme"
"Ἰάκωβος,2385,false","2.","ο-stamme"
"ἴαμα,2386,false","3.","τ-stamme"
"Ἰαμβρῆς,2387,false","1. (-η)","α-stamme"
"Ἰάννης,2389,false","1. (-η)","α-stamme"
"ἴασις,2392,false","3.","ι-stamme"
"ἴασπις,2393,false","3.","δ-stamme"
"Ἰάσων,2394,false","3.","ν-stamme"
"ἰατρός,2395,false","2.","ο-stamme"
"ἰδιώτης,2399,false","1. (-η)","α-stamme"
"Ἰδουμαία,2401,false","1. (-ᾱ)","α-stamme"
"ἱδρώς,2402,false","3.","τ-stamme"
"Ἱεράπολις,2404,false","3.","ι-stamme"
"ἱερατεία,2405,false","1. (-ᾱ)","α-stamme"
"ἱεράτευμα,2406,false","3.","τ-stamme"
"Ἰερεμίας,2408,false","1. (-ᾱ)","α-stamme"
"ἱερεύς,2409,false","3.","ευ-stamme"
"ἱερός,2411,false","2.","ο-stamme"
"Ἱεροσόλυμα,2414,false","3.","τ-stamme"
"Ἱεροσολυμίτης,2415,false","1. (-η)","α-stamme"
"ἱερωσύνη,2420,false","1. (-η)","α-stamme"
"Ἰεχονίας,2423,false","1. (-ᾱ)","α-stamme"
"Ἰησοῦς,2424,false","uregelmæssig","uregelmæssig"
"ἱκανότης,2426,false","3.","τ-stamme"
"ἱκετηρία,2428,false","1. (-ᾱ)","α-stamme"
"ἰκμάς,2429,false","3.","δ-stamme"
"Ἰκόνιον,2430,false","2.","ο-stamme"
"ἱλαρότης,2432,false","3.","τ-stamme"
"ἱλασμός,2434,false","2.","ο-stamme"
"ἱλαστήριος,2435,false","2.","ο-stamme"
"Ἰλλυρικόν,2437,false","2.","ο-stamme"
"ἱμάς,2438,false","3.","ντ-stamme"
"ἱμάτιον,2440,false","2.","ο-stamme"
"ἱματισμός,2441,false","2.","ο-stamme"
"Ἰόππη,2445,false","1. (-η)","α-stamme"
"Ἰορδάνης,2446,false","1. (-η)","α-stamme"
"ἰός,2447,false","2.","ο-stamme"
"Ἰουδαία,2449,false","1. (-ᾱ)","α-stamme"
"Ἰουδαϊσμός,2454,false","2.","ο-stamme"
"Ἰούδας,2448,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"Ἰούδας,2455,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"Ἰουλία,2456,false","1. (-ᾱ)","α-stamme"
"Ἰούλιος,2457,false","2.","ο-stamme"
"Ἰουνιᾶς,2458,false","1. (-ᾱ)","α-stamme"
"Ἰοῦστος,2459,false","2.","ο-stamme"
"ἱππεύς,2460,false","3.","ευ-stamme"
"ἵππος,2462,false","2.","ο-stamme"
"ἶρις,2463,false","3.","δ-stamme"
"Ἰσκαριώθ,2469,false","indeklinalbel","indeklinalbel"
"ἰσότης,2471,false","3.","τ-stamme"
"Ἰσραηλίτης,2475,false","1. (-η)","α-stamme"
"ἰσχύς,2479,false","3.","υ-stamme"
"Ἰταλία,2482,false","1. (-ᾱ)","α-stamme"
"ἰχθύδιον,2485,false","2.","ο-stamme"
"ἰχθύς,2486,false","3.","υ-stamme"
"ἴχνος,2487,false","3.","ς-stamme"
"Ἰωάννα,2489,false","1. (-ᾱ)","α-stamme"
"Ἰωάννης,2491,false","1. (-η)","α-stamme"
"Ἰωνᾶς,2495,false","1. (-ᾱ)","α-stamme"
"Ἰωσῆς,2500,false","3.","τ-stamme"
"Ἰωσίας,2502,false","1. (-ᾱ)","α-stamme"
"καθαίρεσις,2506,false","3.","ι-stamme"
"καθαρισμός,2512,false","2.","ο-stamme"
"καθαρότης,2514,false","3.","τ-stamme"
"καθέδρα,2515,false","1. (-ᾱ)","α-stamme"
"καθηγητής,2519,false","1. (-η)","α-stamme"
"Καϊάφας,2533,false","1. (-ᾱ; dorisk genitiv)","α-stamme"
"καινότης,2538,false","3.","τ-stamme"
"καιρός,2540,false","2.","ο-stamme"
"Καῖσαρ,2541,false","3.","ρ-stamme"
"Καισάρεια,2542,false","1. (-ᾱ)","α-stamme"
"κακία,2549,false","1. (-ᾱ)","α-stamme"
"κακοήθεια,2550,false","1. (-ᾱ)","α-stamme"
"κακοπάθεια,2552,false","1. (-ᾱ)","α-stamme"
"κάκωσις,2561,false","3.","ι-stamme"
"καλάμη,2562,false","1. (-η)","α-stamme"
"κάλαμος,2563,false","2.","ο-stamme"
"καλλιέλαιος,2565,false","2.","ο-stamme"
"κάλυμμα,2571,false","3.","τ-stamme"
"κάμηλος,2574,false","2.","ο-stamme"
"κάμινος,2575,false","2.","ο-stamme"
"Καναναῖος,2581,false","2.","ο-stamme"
"Κανδάκη,2582,false","1. (-η)","α-stamme"
"κανών,2583,false","3.","ν-stamme"
"καπνός,2586,false","2.","ο-stamme"
"Καππαδοκία,2587,false","1. (-ᾱ)","α-stamme"
"καρδία,2588,false","1. (-ᾱ)","α-stamme"
"καρδιογνώστης,2589,false","1. (-η)","α-stamme"
"καρπός,2590,false","2.","ο-stamme"
"Κάρπος,2591,false","2.","ο-stamme"
"κάρφος,2595,false","3.","ς-stamme"
"κατάβασις,2600,false","3.","ι-stamme"
"καταβολή,2602,false","1. (-η)","α-stamme"
"καταγγελεύς,2604,false","3.","ευ-stamme"
"καταδίκη,2613,true","1. (-η)","α-stamme"
"κατάθεμα,2652,false","3.","τ-stamme"
"κατακλυσμός,2627,false","2.","ο-stamme"
"κατάκριμα,2631,false","3.","τ-stamme"
"κατάκρισις,2633,false","3.","ι-stamme"
"καταλαλιά,2636,false","1. (-ᾱ)","α-stamme"
"καταλλαγή,2643,false","1. (-η)","α-stamme"
"κατάλυμα,2646,false","3.","τ-stamme"
"κατάνυξις,2659,false","3.","ι-stamme"
"κατάπαυσις,2663,false","3.","ι-stamme"
"καταπέτασμα,2665,false","3.","τ-stamme"
"κατάρα,2671,false","1. (-ᾱ)","α-stamme"
"κατάρτισις,2676,false","3.","ι-stamme"
"καταρτισμός,2677,false","2.","ο-stamme"
"κατασκήνωσις,2682,false","3.","ι-stamme"
"κατάσκοπος,2685,false","2.","ο-stamme"
"κατάστημα,2688,false","3.","τ-stamme"
"καταστολή,2689,false","1. (-η)","α-stamme"
"καταστροφή,2692,false","1. (-η)","α-stamme"
"κατάσχεσις,2697,false","3.","ι-stamme"
"κατατομή,2699,false","1. (-η)","α-stamme"
"καταφρονητής,2707,false","1. (-η)","α-stamme"
"κατηγορία,2724,false","1. (-ᾱ)","α-stamme"
"κατήγορος,2725,false","2.","ο-stamme"
"κατήφεια,2726,false","1. (-ᾱ)","α-stamme"
"κατοίκησις,2731,false","3.","ι-stamme"
"κατοικητήριον,2732,false","2.","ο-stamme"
"κατοικία,2733,false","1. (-ᾱ)","α-stamme"
"καῦμα,2738,false","3.","τ-stamme"
"καῦσις,2740,false","3.","ι-stamme"
"καύσων,2742,false","3.","ν-stamme"
"καύχημα,2745,false","3.","τ-stamme"
"καύχησις,2746,false","3.","ι-stamme"
"Κεγχρεαί,2747,false","1. (-ᾱ)","α-stamme"
"κειρία,2750,false","1. (-ᾱ)","α-stamme"
"κέλευσμα,2752,false","3.","τ-stamme"
"κενοδοξία,2754,false","1. (-ᾱ)","α-stamme"
"κενοφωνία,2757,false","1. (-ᾱ)","α-stamme"
"κέντρον,2759,false","2.","ο-stamme"
"κεντυρίων,2760,false","3.","ν-stamme"
"κεραία,2762,false","1. (-ᾱ)","α-stamme"
"κεραμεύς,2763,false","3.","ευ-stamme"
"κεράμιον,2765,false","2.","ο-stamme"
"κέραμος,2766,false","2.","ο-stamme"
"κέρας,2768,false","uregelmæssig","uregelmæssig"
"κεράτιον,2769,false","2.","ο-stamme"
"κέρδος,2771,false","3.","ς-stamme"
"κέρμα,2772,false","3.","τ-stamme"
"κερματιστής,2773,false","1. (-η)","α-stamme"
"κεφάλαιον,2774,false","2.","ο-stamme"
"κεφαλή,2776,false","1. (-η)","α-stamme"
"κεφαλίς,2777,false","3.","δ-stamme"
"κῆνσος,2778,false","2.","ο-stamme"
"κῆπος,2779,false","2.","ο-stamme"
"κηπουρός,2780,false","2.","ο-stamme"
"κήρυγμα,2782,false","3.","τ-stamme"
"κῆρυξ,2783,false","3.","κ-stamme"
"κῆτος,2785,false","3.","ς-stamme"
"Κηφᾶς,2786,false","1. (-ᾱ)","α-stamme"
"κιβωτός,2787,false","2.","ο-stamme"
"κιθάρα,2788,false","1. (-ᾱ)","α-stamme"
"κιθαρῳδός,2790,false","2.","ο-stamme"
"Κιλικία,2791,false","1. (-ᾱ)","α-stamme"
"κίνδυνος,2794,false","2.","ο-stamme"
"κίνησις,2796,false","3.","ι-stamme"
"κιννάμωμον,2792,false","2.","ο-stamme"
"κλάδος,2798,false","2.","ο-stamme"
"κλάσις,2800,false","3.","ι-stamme"
"κλάσμα,2801,false","3.","τ-stamme"
"Κλαυδία,2803,false","1. (-ᾱ)","α-stamme"
"Κλαύδιος,2804,false","2.","ο-stamme"
"κλαυθμός,2805,false","2.","ο-stamme"
"κλείς,2807,false","3.","δ-stamme"
"κλέμμα,2809,false","3.","τ-stamme"
"Κλεοπᾶς,2810,false","1. (-ᾱ)","α-stamme"
"κλέος,2811,false","3.","ς-stamme"
"κλέπτης,2812,false","1. (-η)","α-stamme"
"κλῆμα,2814,false","3.","τ-stamme"
"Κλήμης,2815,false","3.","ντ-stamme"
"κληρονομία,2817,false","1. (-ᾱ)","α-stamme"
"κληρονόμος,2818,false","2.","ο-stamme"
"κλῆρος,2819,false","2.","ο-stamme"
"κλῆσις,2821,false","3.","ι-stamme"
"κλίβανος,2823,false","2.","ο-stamme"
"κλίμα,2824,false","3.","τ-stamme"
"κλινάριον,2826,true","2.","ο-stamme"
"κλίνη,2825,false","1. (-η)","α-stamme"
"κλινίδιον,2826,false","2.","ο-stamme"
"κλισία,2828,false","1. (-ᾱ)","α-stamme"
"κλοπή,2829,false","1. (-η)","α-stamme"
"κλύδων,2830,false","3.","ν-stamme"
"Κλωπᾶς,2832,false","1. (-ᾱ)","α-stamme"
"Κνίδος,2834,false","2.","ο-stamme"
"κοδράντης,2835,false","1. (-η)","α-stamme"
